Order,Artist Name,Lead Streams,Feats,Tracks,One Billion,100 Million,Last Updated
754,Blueface,"1,85,60,41,642","61,71,80,661",98,0,4,18.09.22
755,Nat King Cole,"1,85,37,17,658","86,75,904","1,129",0,3,31.07.22
756,Yo Gotti,"1,85,29,43,310","1,31,11,94,792",494,0,2,31.07.22
757,Lady A,"1,85,06,37,526","13,86,95,513",229,0,5,31.07.22
758,Two Feet,"1,85,00,83,119","4,34,92,840",67,0,3,31.07.22
759,Thalia,"1,84,94,94,711","35,68,01,594",320,0,2,19.09.22
760,Taio Cruz,"1,84,90,88,545","2,70,54,116",94,0,4,19.08.22
761,Old Dominion,"1,84,68,26,397","53,26,630",85,0,7,09.08.22
762,Dean Martin,"1,83,99,50,779","1,19,73,306",696,0,5,31.07.22
763,Oliver Tree,"1,83,98,30,515","4,79,58,499",63,0,4,31.08.22
764,John Newman,"1,83,92,65,446","38,62,21,358",95,0,4,31.07.22
765,CRO,"1,83,79,87,132","18,63,26,829",163,0,2,19.08.22
766,PNAU,"1,83,71,43,273","47,95,294",113,1,3,18.09.22
767,ANAVITÓRIA,"1,83,64,87,394","24,74,66,567",79,0,3,18.09.22
768,Sara Bareilles,"1,82,92,09,796","8,25,46,640",194,0,5,15.09.22
769,Michael Silverman,"1,82,70,43,186","2,13,673",972,0,0,31.07.22
770,Burna Boy,"1,82,13,71,663","1,67,11,52,465",174,0,4,19.09.22
771,Surfaces,"1,81,98,02,511",0,70,0,1,31.07.22
772,Chayanne,"1,81,79,89,260","14,40,05,891",236,0,5,31.07.22
773,a-ha,"1,81,57,25,128","16,092",401,1,1,31.07.22
774,The Jackson 5,"1,81,41,48,449","24,68,100",347,0,5,24.08.22
775,Fergie,"1,81,30,98,972","20,61,40,442",82,0,5,31.07.22
776,The Pussycat Dolls,"1,81,30,39,711","2,61,29,902",56,0,5,02.09.22
777,Roxette,"1,81,02,53,500","3,06,912",465,0,4,14.08.22
778,Leona Lewis,"1,80,66,98,865","5,81,37,114",116,0,5,18.09.22
779,Matuê,"1,80,56,76,631","24,34,28,148",33,0,6,31.08.22
780,Natalia Lafourcade,"1,80,54,96,403","93,60,09,979",183,0,4,02.09.22
781,Mora,"1,80,51,58,864","34,85,03,971",76,0,2,16.08.22
782,Dynoro,"1,80,44,91,187","3,78,295",18,1,4,31.07.22
783,Los Tucanes De Tijuana,"1,80,40,35,346","52,31,518",737,0,1,01.08.22
784,AJ Tracey,"1,80,26,72,139","21,50,84,250",98,0,6,21.08.22
785,LUDMILLA,"1,79,97,62,330","46,60,90,779",178,0,2,19.09.22
786,Sean Kingston,"1,79,89,65,211","15,03,41,106",142,0,5,31.07.22
787,Guaynaa,"1,79,73,83,497","13,24,43,509",64,0,5,31.07.22
788,Steve Lacy,"1,79,45,56,932","63,25,08,531",46,0,4,20.09.22
789,Jon Pardi,"1,79,35,62,040","16,12,30,228",78,0,5,05.09.22
790,fun.,"1,79,27,18,438","2,03,986",26,0,3,31.07.22
791,Ben Howard,"1,79,06,17,769","11,25,328",60,0,4,20.09.22
792,Tears For Fears,"1,78,51,49,316","26,01,887",219,0,4,20.09.22
793,Mike Perry,"1,78,49,03,805","2,66,75,234",54,0,3,31.07.22
794,Lalo Ebratt,"1,77,36,83,414","8,41,41,405",60,0,7,31.07.22
795,Oliver Heldens,"1,77,32,43,390","25,35,17,935",145,0,3,31.07.22
796,Martin Solveig,"1,77,21,67,780","85,07,378",246,0,5,31.07.22
797,Nicki Nicole,"1,77,10,51,853","46,67,61,461",49,0,3,16.09.22
798,Darell,"1,76,84,64,822","4,78,03,07,242",133,0,4,31.07.22
799,CHVRCHES,"1,76,62,35,284","55,46,013",118,0,2,14.09.22
800,Julieta Venegas,"1,76,07,85,705","70,19,11,855",152,0,6,18.09.22
801,Kylie Minogue,"1,76,00,59,922","12,26,06,148",906,0,2,05.09.22
802,Gente De Zona,"1,75,66,31,831","1,40,34,04,663",126,0,3,31.07.22
803,Deftones,"1,75,01,74,564","1,89,667",139,0,2,19.08.22
804,Melendi,"1,74,99,60,220","19,01,48,048",184,0,2,31.07.22
805,Seether,"1,74,89,31,621",0,156,0,3,31.07.22
806,Baby Keem,"1,74,83,13,318","6,42,81,837",51,0,3,04.09.22
807,DJ Luian,"1,74,77,34,090","2,73,88,23,311",52,0,4,31.07.22
808,Artist,Lead Streams,Feats,Tracks,1b,100m,Update
809,MKTO,"1,74,69,63,141","1,44,29,939",29,0,2,31.07.22
810,Mambo Kingz,"1,74,50,59,565","2,49,96,18,695",37,0,5,31.07.22
811,Lionel Richie,"1,74,33,79,490","5,35,28,648",297,0,6,25.08.22
812,IU,"1,74,30,26,779","10,50,19,595",165,0,4,18.09.22
813,Lil Dicky,"1,74,18,21,934","12,76,83,917",23,0,5,31.07.22
814,Intocable,"1,74,15,54,669","2,09,85,489",317,0,2,14.08.22
815,Sin Bandera,"1,73,87,42,132","12,48,04,809",124,0,6,31.07.22
816,Daya,"1,73,53,78,090","2,13,18,30,037",45,0,4,31.07.22
817,Chris Young,"1,73,39,28,126","10,89,50,594",112,0,4,31.07.22
818,Tech N9ne,"1,73,32,62,095","66,45,67,305",451,0,2,31.07.22
819,Arcade Fire,"1,73,13,28,594",0,113,0,3,31.07.22
820,Rich Brian,"1,72,71,70,764","62,46,25,192",57,0,4,19.09.22
821,Mother Mother,"1,72,65,27,097","83,041",142,0,5,31.07.22
822,Yusuf / Cat Stevens,"1,72,65,12,987","1,91,18,011",332,0,5,16.09.22
823,Kina,"1,72,33,33,633","41,06,807",39,0,3,31.07.22
824,MAGIC!,"1,72,17,27,530","14,62,86,450",53,1,2,31.07.22
825,Greeicy,"1,72,02,59,336","5,03,35,675",60,0,5,31.08.22
826,Simple Plan,"1,71,96,42,286","21,31,621",128,0,4,05.09.22
827,Sofía Reyes,"1,71,91,04,610","22,63,57,631",61,0,3,10.09.22
828,Dido,"1,71,81,83,561","56,98,325",195,0,4,31.07.22
829,Paul Simon,"1,71,59,31,271","7,58,38,481",370,0,3,31.07.22
830,Dennis Lloyd,"1,71,55,31,867",0,48,0,3,31.07.22
831,Alfredo Olivas,"1,71,33,55,709","6,71,66,813",103,0,3,31.07.22
832,Wolfgang Amadeus Mozart,"1,71,26,07,320","52,75,689","11,475",0,0,31.07.22
833,Tiago PZK,"1,70,97,50,883","33,29,32,512",58,0,4,26.08.22
834,Pineapple StormTv,"1,70,79,06,194","15,41,95,292",215,0,3,31.07.22
835,DENNIS,"1,70,53,96,553","12,65,87,183",298,0,4,31.07.22
836,YUNGBLUD,"1,70,36,01,205","46,36,20,252",92,0,2,04.09.22
837,Summer Cem,"1,70,25,70,591","34,18,63,678",200,0,2,31.07.22
838,Sade,"1,70,11,16,678","14,52,396",113,0,4,05.09.22
839,Eslabon Armado,"1,69,91,14,472","1,37,24,576",90,0,2,31.07.22
840,Juan Luis Guerra 4.40,"1,69,59,01,682","81,08,78,616",208,0,2,16.09.22
841,La Adictiva Banda San José de Mesillas,"1,69,58,30,013","4,41,89,841",128,0,4,31.07.22
842,KSI,"1,69,53,58,834","2,78,38,370",116,0,4,01.09.22
843,Bullet For My Valentine,"1,69,48,04,867","31,403",177,0,2,23.08.22
844,Selena,"1,69,31,51,147","28,94,906",149,0,6,01.09.22
845,Jack Ü,"1,68,53,98,303","9,56,750",37,0,4,31.07.22
846,Nina Simone,"1,68,21,02,220","2,50,50,969",551,0,3,05.08.22
847,Kollegah,"1,67,69,87,056","10,95,22,515",569,0,0,07.08.22
848,Bea Miller,"1,67,52,18,584","1,16,40,03,726",42,0,4,18.08.22
849,Nipsey Hussle,"1,66,90,99,192","27,05,70,506",277,0,3,31.07.22
850,Cyndi Lauper,"1,66,81,52,364","71,13,334",219,0,3,15.09.22
851,Juicy J,"1,66,66,67,173","3,75,97,18,067",450,0,2,31.07.22
852,Max Richter,"1,66,60,56,201","43,626",992,0,0,31.07.22
853,Los Bukis,"1,66,53,01,634","73,60,162",252,0,1,31.07.22
854,Otis Redding,"1,66,41,95,345","15,03,23,645",337,0,3,31.07.22
855,Dominic Fike,"1,66,07,02,806","13,83,02,706",30,0,3,31.07.22
856,Kungs,"1,65,77,34,274","2,98,85,479",65,0,3,31.07.22
857,*NSYNC,"1,65,64,01,553","2,59,12,106",89,0,5,18.09.22
858,Jasmine Thompson,"1,65,13,09,359","95,96,72,838",116,0,3,31.07.22
859,Willie Nelson,"1,64,95,21,446","31,29,85,189","1,571",0,4,31.07.22
860,Tina Turner,"1,64,94,51,408","2,44,63,747",253,0,6,24.08.22
861,Yellow Claw,"1,64,61,56,795","8,82,56,933",263,0,2,31.07.22
862,Lily Allen,"1,64,33,94,520","34,84,77,457",115,0,4,14.08.22
863,will.i.am,"1,64,19,04,383","2,15,93,51,268",103,0,5,20.08.22
864,Sasha Alex Sloan,"1,63,71,38,656","35,60,62,491",55,0,3,13.09.22
865,Silk Sonic,"1,63,52,62,002",0,11,0,3,28.08.22
866,NCT 127,"1,63,31,45,081","4,70,37,951",138,0,2,19.09.22
867,deadmau5,"1,63,31,02,099","8,58,95,158",456,0,1,31.07.22
868,Benjamin Blümchen,"1,63,21,83,811",0,"6,109",0,0,31.07.22
869,Beastie Boys,"1,63,14,83,593","6,86,794",307,0,4,31.07.22
870,Ferrugem,"1,63,09,91,997","31,67,21,915",171,0,1,31.07.22
871,Trueno,"1,62,52,12,488","8,97,83,830",55,0,5,31.08.22
872,Tom Walker,"1,62,19,38,619","10,42,29,160",95,0,4,28.08.22
873,Angus & Julia Stone,"1,62,12,62,836","6,20,72,067",128,0,3,31.07.22
874,AURORA,"1,62,04,62,028","39,25,31,879",105,0,3,17.09.22
875,Wallows,"1,61,74,20,796",0,50,0,5,31.07.22
876,Bill Withers,"1,61,66,84,397","42,31,40,273",120,0,4,31.07.22
877,Camila,"1,61,48,88,793","11,88,40,374",100,0,4,31.07.22
878,The National,"1,61,27,89,597","10,10,50,937",209,0,1,10.09.22
879,ZZ Top,"1,60,98,88,997","84,795",279,0,4,16.09.22
880,KALEO,"1,60,92,14,165",0,29,0,3,31.07.22
881,Tracy Chapman,"1,60,39,55,839","8,63,29,695",102,0,4,18.08.22
882,Mary J. Blige,"1,60,38,23,302","2,07,26,49,813",395,0,2,31.07.22
883,Jowell & Randy,"1,59,87,82,161","88,29,87,056",173,0,3,31.07.22
884,Brad Paisley,"1,59,43,58,812","8,05,12,829",233,0,2,31.07.22
885,The Score,"1,59,04,92,855","20,29,439",66,0,5,31.07.22
886,Los Enanitos Verdes,"1,58,97,91,667","89,73,461",190,0,4,14.09.22
887,Gavin James,"1,58,90,66,720","6,78,35,427",119,0,3,31.07.22
888,Lenny Kravitz,"1,58,69,45,030","5,85,20,527",269,0,4,05.08.22
889,Tungevaag,"1,58,48,06,652","53,91,617",82,0,5,31.07.22
890,Frédéric Chopin,"1,58,09,87,576","11,63,362","9,790",0,0,06.08.21
891,Ramin Djawadi,"1,57,61,32,499","4,94,471","1,024",0,1,09.08.22
892,Tyler Childers,"1,57,58,79,683","3,18,75,984",62,0,5,26.08.22
893,Brett Young,"1,57,47,18,551","1,82,38,191",70,0,4,31.07.22
894,BØRNS,"1,57,31,09,788","1,77,90,746",44,0,3,31.07.22
895,Dadju,"1,57,07,82,544","44,90,80,594",112,0,1,31.07.22
896,Audioslave,"1,56,81,64,155",0,72,0,5,31.07.22
897,Olivia O'Brien,"1,56,72,68,080","1,46,33,63,938",55,0,3,05.08.22
898,Sleepy Hallow,"1,56,68,37,791","29,10,33,854",64,0,2,31.07.22
899,Banda Los Recoditos,"1,56,46,62,688","1,90,05,086",252,0,2,01.08.22
900,Kiiara,"1,56,10,88,103","28,90,81,952",73,0,3,04.09.22
901,Mr. Probz,"1,55,98,87,114","23,79,55,809",36,0,4,19.09.22
902,Sufjan Stevens,"1,55,98,39,764","4,80,19,760",439,0,3,09.09.22
903,Alvaro Soler,"1,55,88,33,906","4,64,16,870",101,0,4,31.07.22
904,Pink Sweat$,"1,55,83,51,053","5,84,75,674",57,0,3,31.07.22
905,King Von,"1,55,76,09,173","15,89,06,906",78,0,3,31.07.22
906,Diego & Victor Hugo,"1,55,73,34,571","2,30,88,565",139,0,6,18.09.22
907,Joaquín Sabina,"1,55,44,42,660","13,05,26,953",348,0,0,31.07.22
908,Ella Henderson,"1,55,34,12,941","36,91,25,542",115,0,3,16.09.22
909,Artist,Lead Streams,Feats,Tracks,1b,100m,Update
910,Blur,"1,55,16,92,610","20,342",356,0,2,08.08.22
911,Ofenbach,"1,55,09,40,003","10,49,12,624",83,0,4,31.07.22
912,Lykke Li,"1,54,99,63,169","10,04,08,098",105,0,4,31.07.22
913,Cher,"1,54,98,63,381","1,45,00,960",399,0,3,19.09.22
914,Lil Kleine,"1,54,91,45,488","34,78,65,948",120,0,0,16.09.22
915,(G)I-DLE,"1,54,91,07,296","48,46,360",68,0,5,19.09.22
916,Skepta,"1,54,51,59,107","1,54,42,72,815",146,0,2,12.09.22
917,Falling In Reverse,"1,54,47,40,243",0,65,0,2,31.07.22
918,Aleman,"1,54,38,45,576","40,75,19,473",151,0,2,31.07.22
919,Will Smith,"1,54,22,01,832","2,29,69,261",90,0,6,31.07.22
920,Kris Kross Amsterdam,"1,54,07,79,399","1,13,11,576",45,0,2,31.07.22
921,Salmo,"1,53,95,40,910","64,51,80,334",162,0,3,16.08.22
922,Toby Keith,"1,53,92,60,688","2,20,35,715",302,0,4,12.08.22
923,Timbaland,"1,53,87,40,572","2,17,28,17,649",156,0,5,09.08.22
924,Beach House,"1,53,78,37,100","21,01,262",107,0,2,06.09.22
925,Snakehips,"1,53,75,01,501","11,41,81,875",80,0,3,31.07.22
926,YOASOBI,"1,53,35,99,947",0,28,0,5,31.07.22
927,ITZY,"1,53,18,45,087",0,70,0,6,20.09.22
928,Pusha T,"1,53,08,16,646","1,66,90,08,782",123,0,2,05.08.22
929,Spice Girls,"1,53,07,66,752","7,05,376",106,0,4,05.09.22
930,Río Roma,"1,52,75,25,300","13,09,32,569",105,0,4,31.07.22
931,Bo Burnham,"1,52,72,12,746","2,73,881",103,0,2,02.09.22
932,Oh Wonder,"1,52,29,82,587","70,07,89,793",71,0,5,09.08.22
933,UB40,"1,52,02,29,534","20,93,977",436,0,3,31.07.22
934,Moby,"1,51,98,04,913","29,45,25,726",836,0,3,31.07.22
935,Andrea Bocelli,"1,51,80,57,850","6,38,60,756",592,0,3,08.09.22
936,Cash Cash,"1,51,62,24,156","12,20,82,586",163,0,4,31.07.22
937,Zendaya,"1,51,45,81,338","74,25,06,843",42,0,3,31.07.22
938,Topic,"1,51,41,11,730","99,59,46,509",70,0,1,31.07.22
939,John Denver,"1,51,27,62,331","84,72,293",594,0,3,31.07.22
940,BONES,"1,51,12,19,763","19,25,10,411",653,0,1,31.07.22
941,Natiruts,"1,51,08,21,450","2,16,90,077",216,0,1,31.07.22
942,TLC,"1,51,05,71,033","23,55,96,205",173,0,3,09.09.22
943,Gustavo Cerati,"1,50,98,10,094","20,42,09,748",163,0,3,31.07.22
944,LIT killah,"1,50,90,81,134","19,01,56,783",45,0,2,28.08.22
945,Alina Baraz,"1,50,65,24,901","2,90,78,869",76,0,3,09.08.22
946,Lauren Daigle,"1,50,65,08,915","14,59,87,139",67,0,3,31.07.22
947,Official HIGE DANdism,"1,50,60,88,256",0,144,0,4,31.07.22
948,Pixies,"1,50,53,25,659",0,856,0,3,04.09.22
949,Dread Mar I,"1,50,32,18,350","3,75,69,370",160,0,2,31.07.22
950,Mc Don Juan,"1,50,04,72,460","56,76,52,551",155,0,3,31.07.22
951,Thiaguinho,"1,49,84,17,630","22,58,12,024",249,0,0,31.07.22
952,Evaluna Montaner,"1,49,57,47,834","13,31,38,325",46,0,4,31.07.22
953,Capo Plaza,"1,49,49,55,350","79,84,26,969",78,0,1,04.09.22
954,MF DOOM,"1,49,43,66,089","10,24,12,043",424,0,2,31.07.22
955,Petit Biscuit,"1,49,41,85,761","2,24,98,758",86,0,1,31.07.22
956,Gloria Trevi,"1,49,36,26,591","17,92,47,041",278,0,2,19.09.22
957,Gym Class Heroes,"1,49,34,50,694",0,75,0,3,31.07.22
958,Maggie Lindemann,"1,49,25,24,310","35,18,587",40,0,2,19.09.22
959,Jeezy,"1,48,50,78,408","1,43,70,63,010",552,0,2,31.07.22
960,Talking Heads,"1,48,42,42,370",0,215,0,3,04.09.22
961,Bruno Martini,"1,48,29,24,670","2,77,49,916",105,0,4,26.08.22
962,Supertramp,"1,48,05,11,283","35,955",119,0,4,23.08.22
963,Hungria Hip Hop,"1,48,00,92,466","7,17,37,408",68,0,1,31.07.22
964,Wu-Tang Clan,"1,47,94,60,962","1,52,06,987",351,0,2,31.07.22
965,Vince Staples,"1,47,81,07,395","58,35,23,563",97,0,2,09.08.22
966,Brantley Gilbert,"1,47,72,81,228","12,70,58,982",117,0,2,31.07.22
967,Tori Kelly,"1,47,39,81,175","56,40,51,955",98,0,3,04.09.22
968,Counting Crows,"1,47,36,24,597","45,03,425",192,0,3,15.08.22
969,Marracash,"1,47,29,23,263","53,46,87,416",196,0,0,20.08.22
970,Foreigner,"1,46,89,72,124","3,54,623",284,0,4,04.09.22
971,Andrés Calamaro,"1,46,34,67,941","16,94,06,253",521,0,2,05.09.22
972,Tom Petty and the Heartbreakers,"1,46,30,07,847","37,03,828",248,0,3,03.09.22
973,Hombres G,"1,46,15,46,570","6,55,45,893",275,0,3,31.07.22
974,Lupe Fiasco,"1,45,89,13,538","28,41,82,379",182,0,3,20.09.22
975,$NOT,"1,45,65,94,009","11,03,24,095",58,0,3,31.07.22
976,Upchurch,"1,45,18,82,160","16,00,13,519",245,0,0,31.07.22
977,Canserbero,"1,45,17,62,300","2,05,76,666",88,0,3,06.08.22
978,ZHU,"1,45,03,64,098","5,39,33,968",120,0,2,31.07.22
979,Cristian Castro,"1,44,96,06,688","17,13,08,397",236,0,3,31.07.22
980,Megadeth,"1,44,90,01,793","7,85,779",419,0,2,14.09.22
981,D-Block Europe,"1,44,89,61,530","9,46,74,597",150,0,0,22.08.22
982,Bryce Vine,"1,44,49,48,521","45,90,271",81,0,4,31.07.22
983,Gustavo Mioto,"1,44,48,28,975","7,24,47,438",119,0,4,31.07.22
984,Showtek,"1,44,19,97,312","6,99,34,802",267,0,2,31.07.22
985,Pabllo Vittar,"1,44,09,38,225","30,78,06,312",125,0,2,24.08.22
986,Kelly Rowland,"1,43,97,18,750","61,44,05,577",126,0,3,16.08.22
987,The All-American Rejects,"1,43,90,69,693",0,86,0,4,31.07.22
988,Jack & Jack,"1,43,87,39,447","4,57,72,171",43,0,2,31.07.22
989,Ben&Ben,"1,43,74,89,824","1,78,25,818",57,0,4,31.08.22
990,The Head And The Heart,"1,43,69,17,213",0,95,0,4,31.07.22
991,ONE OK ROCK,"1,43,62,89,806","25,88,340",129,0,1,10.09.22
992,Melim,"1,43,58,84,104","8,98,83,469",85,0,3,26.08.22
993,Jacquees,"1,43,34,86,084","29,70,96,889",120,0,2,13.09.22
994,RÜFÜS DU SOL,"1,43,12,66,723","1,11,03,276",148,0,2,31.07.22
995,SCH,"1,43,01,89,357","65,01,33,345",114,0,0,31.07.22
996,Young the Giant,"1,42,97,79,508",0,78,0,3,26.08.22
997,Gemitaiz,"1,42,97,78,231","70,44,43,260",174,0,1,31.07.22
998,Central Cee,"1,42,86,46,963","87,20,636",49,0,5,20.09.22
999,Empire of the Sun,"1,42,84,82,992","23,06,76,529",108,0,3,31.07.22
1000,Alanis Morissette,"1,42,68,36,551","4,94,969",300,0,3,16.09.22
1001,Icona Pop,"1,42,66,80,056","22,27,97,489",121,0,3,31.07.22
1002,Dustin Lynch,"1,42,61,54,511","1,10,48,052",83,0,4,07.08.22
1003,The Temptations,"1,42,59,42,696","6,47,81,659",732,0,3,05.08.22
1004,Simone & Simaria,"1,42,53,39,491","23,89,59,423",122,0,4,31.08.22
1005,Gotye,"1,42,45,91,618","1,05,76,378",46,1,1,31.07.22
1006,NIKI,"1,42,29,20,850","23,14,05,433",55,0,4,14.09.22
1007,Duke Dumont,"1,42,20,96,182","2,46,22,115",121,0,2,31.07.22
1008,Laura Pausini,"1,42,16,22,604","29,32,91,443",434,0,0,13.09.22
1009,Beck,"1,42,05,97,420","8,38,71,063",300,0,1,17.08.22
